 time[s], u[ft/s], v[ft/s], w[ft/s], p[rad/s], q[rad/s], r[rad/s], xf[ft], yf[ft], zf[ft], e0, ex, ey, ez
  0.20500000000000010      ,   204.01224313225106      ,   2.4045175234398783      ,   3.2541864945374508      ,   106.68699520253465      , -0.14278652038989803      ,   6.7868510421214140E-002 ,   42.391718188728461      ,   9.8299205850760352E-002 ,  -6.4060326446288363      , -0.95738716476778907      , -0.28635966286827241      ,  -3.5768113521753811E-002 ,   1.1340294306529483E-002
  0.21000000000000010      ,   203.87224794309631      ,   3.7334610920184659      ,   1.5581610119720488      ,   106.61863056473842      ,  -9.1865295623790241E-002 ,  0.13522844741646334      ,   43.410516435899986      ,  0.12742320967674572      ,  -6.4483254120567688      , -0.84812501675379082      , -0.52849369850205918      ,  -3.1149907633916871E-002 ,   2.0200243919196417E-002
  0.21500000000000011      ,   203.73663637677257      ,   4.0002303723656123      , -0.57726211233760649      ,   106.54973758895628      ,  -1.1237824805300056E-002 ,  0.16843765458421189      ,   44.429325709041770      ,  0.16462112980386753      ,  -6.4721456781130824      , -0.67905167564390090      , -0.73317166021994962      ,  -2.4410105513318264E-002 ,   2.7427818075117731E-002
  0.22000000000000011      ,   203.59985128040529      ,   3.1314955415355574      ,  -2.5401402369971482      ,   106.48055137811295      ,   7.7781523122178620E-002 ,  0.15573967728138563      ,   45.448180181216472      ,  0.19957924365562504      ,  -6.4761771979468001      , -0.46220150335718069      , -0.88603185623390113      ,  -1.6082241279532759E-002 ,   3.2537386934052621E-002
  0.22500000000000012      ,   203.45806249648754      ,   1.3812100887506407      ,  -3.7705885820835334      ,   106.41079055512303      ,  0.15014974447651058      ,   9.7965651321361785E-002 ,   46.466888858856315      ,  0.22287515739069161      ,  -6.4645142750940057      , -0.21293589823460851      , -0.97640787867860046      ,  -6.8038924836170940E-003 ,   3.5208873092551163E-002
  0.23000000000000012      ,   203.31319964602727      , -0.74461936457089162      ,  -3.9227895673535929      ,   106.34013646878326      ,  0.18417919091663565      ,   9.0137677868115801E-003 ,   47.485114006147711      ,  0.22857902934729019      ,  -6.4453845860387640      ,   5.1151699061448168E-002 , -0.99806282539335001      ,   2.7326972768623291E-003 ,   3.5307684950492899E-002
  0.23500000000000013      ,   203.17084361490652      ,  -2.6361912217391374      ,  -2.9636058911720999      ,   106.26871476077544      ,  0.16801895287008939      ,  -8.7473233659296393E-002 ,   48.502492060389081      ,  0.21580412153177098      ,  -6.4287516533175921      ,  0.31148294415934902      , -0.94960864412237855      ,   1.1833030416899173E-002 ,   3.2890392169056912E-002
  0.24000000000000013      ,   203.03430354246703      ,  -3.7571987171717121      ,  -1.1793423292387319      ,   106.19707663954487      ,  0.10359480038559422      , -0.16444371947734893      ,   49.518740235879370      ,  0.18880441685675925      ,  -6.4235075771953607      ,  0.54980464555877717      , -0.83458118076594956      ,   1.9851764743105873E-002 ,   2.8195954849677851E-002
  0.24500000000000013      ,   202.90120737551806      ,  -3.7989721791578748      ,  0.91047144952460402      ,   106.12571393722021      ,   6.7347086924808564E-003 , -0.19906928714865357      ,   50.533715747159157      ,  0.15564529589121698      ,  -6.4350530293406898      ,  0.74946688865592481      , -0.66116814214638286      ,   2.6239182663196758E-002 ,   2.1623503700269754E-002
  0.25000000000000011      ,   202.76614867820385      ,  -2.7666771809598840      ,   2.7060419276107308      ,   106.05463209793938      ,  -9.6724914471793266E-002 , -0.17950473491407634      ,   51.547430201803778      ,  0.12586619210053418      ,  -6.4639178865449320      ,  0.89657929567774852      , -0.44161387687286741      ,   3.0579319146681397E-002 ,   1.3698742855957954E-002
  0.25500000000000012      ,   202.62644227092440      , -0.97326419012361209      ,   3.7015309974425152      ,   105.98343066665687      , -0.17789283633962993      , -0.10877555258703298      ,   52.560036496093694      ,  0.10781005844301469      ,  -6.5057662421166702      ,  0.98096763039340928      , -0.19134604846775760      ,   3.2617153739016524E-002 ,   5.0318126037635393E-003
  0.26000000000000012      ,   202.48483252509115      ,   1.0557922398389612      ,   3.6294225446777588      ,   105.91179321722670      , -0.21294795912266573      ,  -4.5487120834650646E-003 ,   53.571794483174919      ,  0.10636309099400409      ,  -6.5527426614436166      ,  0.99686710274885626      ,   7.2114566165148150E-002 ,   3.2273137689562220E-002 ,  -3.7300653592579050E-003
  0.26500000000000012      ,   202.34641617870025      ,   2.7378295298600812      ,   2.5333846123680548      ,   105.83986105201561      , -0.19013179581890460      ,  0.10530833593551417      ,   54.583008957292783      ,  0.12171678074997211      ,  -6.5957493042531237      ,  0.94330476487932380      ,  0.33038538273202761      ,   2.9644235829400390E-002 ,  -1.1951515178673280E-002
  0.27000000000000013      ,   202.21323247439938      ,   3.6021057169813910      ,  0.74958081715280933      ,   105.76810649277658      , -0.11355058273255142      ,  0.19025395549982471      ,   55.593942188113211      ,  0.14946567236857372      ,  -6.6269957763715013      ,  0.82414468022304888      ,  0.56550671092412064      ,   2.4991694747288917E-002 ,  -1.9055738072557504E-002
  0.27500000000000013      ,   202.08228558388726      ,   3.4231477551791265      ,  -1.1964366831587705      ,   105.69686121970119      ,  -2.5869786140287621E-003 ,  0.22562665500406598      ,   56.604728319005169      ,  0.18197400617262760      ,  -6.6421062291859103      ,  0.64779560403753267      ,  0.76118793426496312      ,   1.8716835046014471E-002 ,  -2.4565508440631743E-002
  0.28000000000000014      ,   201.94891873510136      ,   2.2802197572863001      ,  -2.7455595685656613      ,   105.62600890455369      ,  0.11305072670428290      ,  0.19981332949326935      ,   57.615330787352249      ,  0.21059296691913409      ,  -6.6412117519834704      ,  0.42660602744851267      ,  0.90392886229534297      ,   1.1327088406324189E-002 ,  -2.8135499325249582E-002
  0.28500000000000014      ,   201.81174788986931      ,  0.52713933556758419      ,  -3.4672234347262667      ,   105.55515537168571      ,  0.20136443038705226      ,  0.11794526570449169      ,   58.625566586113209      ,  0.22808304782309596      ,  -6.6287550409952321      ,  0.17599128296352606      ,  0.98394152858719131      ,   3.3951255196079939E-003 ,  -2.9573802005487516E-002
  0.29000000000000015      ,   201.67390605048118      ,  -1.3168206198622026      ,  -3.1804384663253162      ,   105.48407380395886      ,  0.23699112882378859      ,   9.6822627098208658E-004 ,   59.635182980055710      ,  0.23055565441390616      ,  -6.6121058291810790      ,  -8.6646727523958189E-002 ,  0.99581113827173862      ,  -4.4856972077448676E-003 ,  -2.8851343537061300E-002
  0.29500000000000015      ,   201.53950200362513      ,  -2.7213555144189754      ,  -1.9994225494759794      ,   105.41294566004490      ,  0.20850577758868188      , -0.11977717948017784      ,   60.643944825979084      ,  0.21840897292485095      ,  -6.5994210652151457      , -0.34313223007051730      ,  0.93885097550571972      ,  -1.1746126069121905E-002 ,  -2.6098793097771140E-002
  0.30000000000000016      ,   201.40927779506958      ,  -3.2987717416010813      , -0.29234849944520191      ,   105.34215924523984      ,  0.12199136724255079      , -0.21104307448082821      ,   61.651695199300200      ,  0.19604246872749409      ,  -6.5973785555421323      , -0.57577480703656692      ,  0.81712752406064859      ,  -1.7882592224950342E-002 ,  -2.1591523796024120E-002
  0.30500000000000016      ,   201.28005768297112      ,  -2.9120753106428769      ,   1.4325787420202318      ,   105.27190446289076      ,  -2.1866925742661247E-004 , -0.24690375410829468      ,   62.658379204012107      ,  0.17048631155746638      ,  -6.6094145104386852      , -0.76858629814967649      ,  0.63915721170427142      ,  -2.2492483777989902E-002 ,  -1.5724159643509119E-002
  0.31000000000000016      ,   201.14832819874394      ,  -1.7071735602392932      ,   2.6786055269494313      ,   105.20200030435068      , -0.12537632507725779      , -0.21614501755141535      ,   63.664042675248623      ,  0.14937041084434877      ,  -6.6349235447002197      , -0.90837230337551456      ,  0.41729971166024471      ,  -2.5300641670994588E-002 ,  -8.9770061587742343E-003
  0.31500000000000017      ,   201.01392235812281      ,  -6.1808037031624297E-002 ,   3.1042721237503219      ,   105.13211951708659      , -0.21918870086080408      , -0.12570108522077422      ,   64.668817218652237      ,  0.13881503180557736      ,  -6.6695975821040312      , -0.98562594302150364      ,  0.16689165867817565      ,  -2.6175388652225226E-002 ,  -1.8771615603623828E-003
  0.32000000000000017      ,   200.87993148213994      ,   1.5316071715607409      ,   2.6177941960508617      ,   105.06214726640202      , -0.25529366927416136      ,   9.0051791034537199E-004 ,   65.672890298012206      ,  0.14182243190297453      ,  -6.7067645886645453      , -0.99516438812119279      ,  -9.4819484079782759E-002 ,  -2.5133208122420373E-002 ,   5.0426088179370927E-003
  0.32500000000000018      ,   200.74920483243659      ,   2.6131313673028291      ,   1.3957423333005146      ,   104.99228850049079      , -0.22270005607595958      ,  0.12973921023238466      ,   66.676455651490542      ,  0.15759116471286047      ,  -6.7393199200177190      , -0.93646499797941796      , -0.34986748610630347      ,  -2.2332043608252760E-002 ,   1.1284039761690174E-002
